epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,2414.29,0.25644,0.31113,0.39771,0.82621,0,0.52336,0.26794,0.30989,0.25999,0.5139,0.26234,0.30177,0.24427,0.94862,1.67465,3.04908,1.48269,0,0.000114301,0.000114301,0.000114301
29,2500.44,0.25557,0.30837,0.39916,0.82437,0,0.58084,0.29682,0.33454,0.28645,0.57389,0.29124,0.3284,0.27128,0.89702,1.58,2.82153,1.4344,0,0.000112757,0.000112757,0.000112757
30,2586.35,0.25024,0.30551,0.3888,0.82363,0,0.57497,0.23099,0.26809,0.2269,0.5734,0.22955,0.26644,0.22264,1.1389,1.8402,3.2537,1.7167,0,0.000111212,0.000111212,0.000111212
31,2672.09,0.25319,0.3065,0.37846,0.82728,0,0.59859,0.31409,0.35683,0.29826,0.59179,0.30743,0.34975,0.28422,0.87547,1.50135,2.7904,1.39345,0,0.000109668,0.000109668,0.000109668
32,2758.36,0.25205,0.31339,0.37891,0.82629,0,0.56302,0.25411,0.28642,0.24328,0.54289,0.25329,0.28558,0.23542,1.06688,1.84933,3.16875,1.65339,0,0.000108124,0.000108124,0.000108124
33,2844.99,0.25026,0.30565,0.36119,0.82442,0,0.56706,0.23704,0.28276,0.24021,0.55949,0.23123,0.27405,0.22446,1.1936,2.29355,3.4069,1.82239,0,0.000106579,0.000106579,0.000106579
34,2930.59,0.24846,0.30401,0.35942,0.82412,0,0.55735,0.26095,0.29393,0.25029,0.55333,0.25692,0.28914,0.23912,1.09935,1.99254,3.19882,1.66789,0,0.000105035,0.000105035,0.000105035
35,3017.07,0.2497,0.30171,0.35698,0.82541,0,0.53872,0.25411,0.28741,0.2455,0.53354,0.24985,0.28041,0.23476,1.03836,1.89748,3.13094,1.60815,0,0.00010349,0.00010349,0.00010349
36,3103.3,0.24804,0.30347,0.35415,0.82426,0,0.54824,0.26034,0.30105,0.25708,0.54605,0.25622,0.29488,0.24212,1.07886,1.99261,3.12926,1.65,0,0.000101946,0.000101946,0.000101946
37,3189.67,0.24512,0.29481,0.34343,0.82375,0,0.548,0.24395,0.27936,0.24003,0.54778,0.2422,0.2768,0.23142,1.1967,1.98234,3.26107,1.75665,0,0.000100402,0.000100402,0.000100402
38,3275.43,0.24738,0.3065,0.34155,0.82438,0,0.56424,0.23689,0.27847,0.23736,0.56054,0.23376,0.27307,0.22633,1.18683,2.08252,3.38272,1.77533,0,9.88572e-05,9.88572e-05,9.88572e-05
39,3361.5,0.24314,0.30331,0.33013,0.8239,0,0.54286,0.23671,0.27327,0.22814,0.5458,0.23449,0.26926,0.22001,1.19823,1.95983,3.35382,1.76472,0,9.73128e-05,9.73128e-05,9.73128e-05
40,3447.69,0.23967,0.29942,0.32654,0.82167,0,0.56475,0.24663,0.29117,0.24763,0.57079,0.24645,0.29195,0.24026,1.05056,1.82945,3.25517,1.62727,0,9.57684e-05,9.57684e-05,9.57684e-05
41,3532.99,0.24264,0.29674,0.32839,0.8238,0,0.57829,0.22313,0.2627,0.22309,0.57409,0.21945,0.25615,0.21289,1.13305,2.0713,3.31666,1.70708,0,9.4224e-05,9.4224e-05,9.4224e-05
42,3618.42,0.23951,0.29738,0.31359,0.82084,0,0.58111,0.21753,0.25433,0.21445,0.56859,0.21148,0.24746,0.20381,1.12636,2.14221,3.35752,1.70354,0,9.26796e-05,9.26796e-05,9.26796e-05
43,3703.97,0.23829,0.29561,0.3115,0.82347,0,0.58364,0.23967,0.2771,0.23421,0.5811,0.23601,0.27248,0.22621,1.09045,1.83591,3.25114,1.64846,0,9.11352e-05,9.11352e-05,9.11352e-05
44,3789.59,0.23811,0.29492,0.31297,0.82336,0,0.59329,0.26352,0.30714,0.25872,0.58791,0.25932,0.30235,0.24714,0.99866,1.76031,3.07323,1.5554,0,8.95908e-05,8.95908e-05,8.95908e-05
45,3875.28,0.23467,0.29483,0.31021,0.82404,0,0.56319,0.23347,0.27295,0.23042,0.55041,0.22737,0.26406,0.21872,1.12102,2.236,3.29213,1.71659,0,8.80464e-05,8.80464e-05,8.80464e-05
46,3961.35,0.24034,0.29112,0.30903,0.82364,0,0.61073,0.3051,0.3545,0.30223,0.61398,0.30492,0.35196,0.2892,0.89263,1.57806,2.69645,1.40894,0,8.6502e-05,8.6502e-05,8.6502e-05
47,4047.39,0.23625,0.29349,0.29918,0.81952,0,0.5551,0.26208,0.29731,0.25097,0.55,0.25753,0.28931,0.23965,1.05949,1.91971,3.18151,1.61634,0,8.49576e-05,8.49576e-05,8.49576e-05
48,4133.03,0.23896,0.29545,0.30341,0.82317,0,0.59495,0.29191,0.3234,0.27686,0.59146,0.28713,0.31847,0.26152,0.93024,1.82836,2.97654,1.45375,0,8.34132e-05,8.34132e-05,8.34132e-05
49,4218.63,0.23465,0.28805,0.29618,0.82346,0,0.57916,0.27488,0.32499,0.27548,0.58164,0.27076,0.31778,0.25903,0.99622,1.76571,3.09206,1.50887,0,8.18688e-05,8.18688e-05,8.18688e-05
50,4304.51,0.23473,0.28967,0.28726,0.82129,0,0.56096,0.27954,0.32553,0.27862,0.56045,0.27794,0.32335,0.27092,0.98045,1.66156,3.02643,1.50656,0,8.03244e-05,8.03244e-05,8.03244e-05
51,4390.44,0.23348,0.29,0.29515,0.82475,0,0.58849,0.26476,0.30501,0.25769,0.58481,0.25941,0.29875,0.24585,1.02236,1.82776,3.16784,1.56733,0,7.878e-05,7.878e-05,7.878e-05
